First Name,Last Name,Gender,Email,Hire Date,Salary,IsActive,HourlyRate,Marital Status,Street,City,State,ZIP Code
Diamond,Dudley,Male,teresa26@example.org,2003-10-09,6127,TRUE,33,Divorced,905 Banyan St,Indianapolis,IN,24387
Ethan,Hanson,Female,ufrank@example.com,2014-02-15,10020,FALSE,50,Single,119 Dogwood St,Concord,NH,69677
Grace,Huerta,Female,tiffany51@example.com,2014-01-30,3170,FALSE,198,Single,903 Teak St,St. Paul,MN,18025
Jillian,Bryant,Female,parkerstone@example.net,2002-12-07,2363,TRUE,38,Single,360 Poplar St,Juneau,AK,38297
Warren,Simpson,Male,ryanmisty@example.com,1986-12-09,1528,TRUE,90,Married,911 Pine St,Trenton,NJ,46751
Lydia,Blankenship,Male,rosariomalik@example.net,1999-11-21,2226,FALSE,177,Single,929 Magnolia St,Austin,TX,65118
Tracy,Roberts,Female,jeromewebb@example.org,1992-03-27,1498,TRUE,167,Married,269 Mimosa St,Columbia,SC,13771
Sydney,Holland,Female,benderalisha@example.org,2008-07-01,7813,TRUE,142,Single,559 Beech St,Harrisburg,PA,24708
Jesse,Holloway,Female,friedmanann@example.net,2004-12-23,12124,FALSE,96,Single,632 Olive St,St. Paul,MN,65267
Sydney,Friedman,Female,breanna73@example.net,2005-11-27,12575,TRUE,197,Single,272 Tamarack St,Columbia,SC,91403
Alejandro,Baird,Male,waguilar@example.org,2013-06-17,3347,TRUE,61,Divorced,174 Bamboo St,Bismarck,ND,17558
Beverly,Banks,Female,rlawson@example.org,1993-07-12,10326,FALSE,123,Divorced,992 Sycamore St,Carson City,NV,87800
Jasmin,Villa,Female,stephenspriscilla@example.org,1993-12-22,2333,TRUE,89,Married,998 Pecan St,Cheyenne,WY,33168
Edwin,Cervantes,Female,dgross@example.com,1990-12-16,11122,TRUE,85,Single,160 Beech St,Annapolis,MD,51002
Kirsten,Ross,Male,smckinney@example.com,1982-04-12,10291,TRUE,199,Single,732 Dogwood St,Little Rock,AR,67585
Isabella,Fry,Female,donaldpena@example.com,1992-10-18,10337,TRUE,115,Single,156 Olive St,St. Paul,MN,85444
Alice,Mueller,Female,wallaceandre@example.com,2010-02-01,8161,TRUE,59,Married,499 Birch St,Lincoln,NE,32333
Tammie,Christensen,Female,yhudson@example.com,2003-03-23,12727,TRUE,78,Single,968 Yew St,Montgomery,AL,94154
Devon,Bautista,Male,nblack@example.net,1982-09-18,8420,FALSE,175,Single,436 Tupelo St,Raleigh,NC,16876
Philip,Mason,Male,brandy03@example.com,2023-01-17,12911,FALSE,114,Single,273 Beech St,Madison,WI,83329
Johnathan,Hogan,Female,peggyholden@example.org,2007-02-25,7831,FALSE,147,Married,172 Juniper St,Olympia,WA,99064
Alan,Graham,Male,cardenasmakayla@example.org,2010-10-23,5902,FALSE,101,Single,931 Tamarack St,Indianapolis,IN,90703
Whitney,Farmer,Male,gloverjim@example.com,2011-12-30,11945,TRUE,195,Single,320 Alder St,Madison,WI,96117
Stefanie,Roberson,Male,glennsummer@example.com,1996-12-23,6349,FALSE,105,Divorced,933 Mimosa St,Springfield,IL,37094
Lacey,Rich,Female,stevensonkerri@example.net,1984-05-04,3833,TRUE,38,Married,945 Tamarack St,Springfield,IL,54503
Judith,Levine,Female,diamond75@example.org,2001-03-09,8176,TRUE,83,Married,181 Hemlock St,Concord,NH,27067
Latasha,Gates,Male,ryanbuck@example.net,2001-03-13,3925,FALSE,57,Single,550 Elder St,Albany,NY,80746
Don,Moyer,Male,xboyer@example.org,2000-09-28,10572,TRUE,60,Married,802 Plum St,Salem,OR,14645
Joan,Ellison,Male,darinmccall@example.org,2000-01-04,3979,FALSE,95,Divorced,343 Cherry St,Topeka,KS,50098
Evan,Ramirez,Female,haynesterrance@example.org,1994-06-02,9107,FALSE,145,Married,265 Teak St,Hartford,CT,58446
Carly,Andrade,Female,wheelergwendolyn@example.org,1990-11-19,6007,TRUE,57,Married,409 Fir St,Sacramento,CA,92898
Monica,Villarreal,Female,ivan90@example.org,2005-02-28,5385,TRUE,148,Divorced,642 Fir St,Boise,ID,69829
Ethan,Mays,Male,tasha48@example.org,2010-04-19,10471,TRUE,153,Married,186 Pecan St,Santa Fe,NM,30609
Lori,Harding,Male,vernon22@example.com,1996-08-12,4969,FALSE,149,Single,857 Tamarack St,St. Paul,MN,11560
Louis,Sparks,Male,nboyd@example.net,1991-12-29,9824,FALSE,59,Single,930 Tupelo St,Frankfort,KY,55142
Gene,Jensen,Male,delgadolynn@example.net,1984-11-26,12556,FALSE,134,Divorced,368 Beech St,Denver,CO,57851
Evan,Gallagher,Male,macdonaldsara@example.com,2013-02-18,2396,TRUE,63,Divorced,383 Willow St,Phoenix,AZ,92137
Madison,House,Male,allisonmelvin@example.net,1984-03-12,11894,FALSE,146,Married,836 Yew St,Columbus,OH,16018
Kristen,Harris,Male,hesschris@example.org,1993-03-11,13095,FALSE,140,Single,259 Wisteria St,Little Rock,AR,74974
Lacey,Schultz,Male,jesus50@example.org,2018-09-08,12324,TRUE,187,Divorced,582 Yew St,Pierre,SD,93414
Betty,Richards,Male,pibarra@example.net,2017-08-07,6106,FALSE,100,Single,362 Holly St,Bismarck,ND,32271
Shelley,Brooks,Female,tannerjane@example.org,2014-02-11,1658,FALSE,180,Divorced,680 Magnolia St,Concord,NH,17694
Whitney,Dawson,Female,cooleymary@example.net,1991-04-14,1236,FALSE,88,Divorced,466 Cedar St,Oklahoma City,OK,52900
Craig,Lopez,Female,wmclaughlin@example.org,1992-09-29,3729,TRUE,197,Single,907 Pine St,Columbia,SC,15212
Russell,Cain,Male,eddie79@example.net,1980-03-27,9891,FALSE,58,Single,677 Spruce St,Nashville,TN,65453
